,Datetime,User,Tweets count
0,2020-07-24 03:14:16,wallofvetsnh,1401
1,2019-07-15 08:51:46,KatlynSkett,5110
2,2016-11-21 09:07:59,thuli_zandile,923
3,2010-11-21 13:16:42,wuperkins,128713
4,2010-04-29 01:38:29,tammym6266,3060
5,2016-06-09 19:14:54,ppi_dave,661
6,2013-02-18 08:17:33,ReneTrevor,18665
7,2010-09-22 21:59:19,RTVWOW,52320
8,2020-03-15 14:16:06,rajni_slt,166
9,2020-07-24 03:14:16,wallofvetsnh,1401
10,2011-12-09 20:11:10,DeplorableKat,1583
11,2017-12-04 11:33:23,rob_bray710,18623
12,2009-10-02 15:42:51,kattolikamente,83642
13,2019-09-04 08:16:14,__S_U_K_U__,5
14,2007-12-27 22:04:33,carolinediehl,5279
15,2017-10-17 20:06:59,GhafariaKhan,741
16,2009-04-02 09:59:23,BLAIMGame,16865
17,2011-09-22 09:34:38,newstruthliz,123152
18,2020-06-08 10:15:27,Royal_T101,455
19,2009-04-07 22:11:59,DStewart541,236654
20,2019-06-25 23:47:21,BlackedHatGuy,13706
21,2009-03-25 21:57:38,schestowitz,798431
22,2018-02-01 20:40:19,tbasharks,6769
23,2020-07-24 03:14:16,wallofvetsnh,1401
24,2020-07-20 07:11:28,PDX_Monitor,330
25,2019-12-31 17:55:42,Leijohn9,30
26,2012-12-28 07:43:52,KGWRKGW,20328
27,2009-11-20 14:22:39,InfoGuruShop,127855
28,2015-10-02 08:15:41,Eddiemwandie,319
29,2018-11-08 18:51:16,ChristineJameis,359484
30,2013-05-20 07:21:37,D_W_Pearce,13449
31,2011-06-04 12:44:20,ClassicDeepCuts,430181
32,2016-07-15 09:56:43,Des_Iris,832
33,2013-09-17 00:00:18,Julianyc422Shaw,10955
34,2020-07-24 03:14:16,wallofvetsnh,1401
35,2010-02-22 00:53:03,tobeselfevident,27990
36,2020-07-24 03:14:16,wallofvetsnh,1401
37,2017-10-17 20:06:59,GhafariaKhan,741
38,2009-02-18 07:45:17,axello,7992
39,2013-11-01 03:52:52,AudioFilesProd,4145
40,2010-04-13 15:58:31,ThabisoMosia,122485
41,2012-04-23 21:55:52,lhernandezjr,1166
42,2012-06-07 00:54:38,The_Andredal,69764
43,2010-05-07 18:43:14,SamWestover1,3975
44,2009-04-21 00:14:09,diegojimmyjames,61644
45,2016-11-21 20:10:02,guy_ingerson,9190
46,2019-02-24 09:52:10,DCiutanau,126
47,2012-07-14 21:52:35,catyeboah,126781
48,2020-07-24 03:14:16,wallofvetsnh,1401
49,2016-03-08 12:06:19,WTMBelfast,1657
